product type,NODE ID,Node Id in DE,Amazon category name,DE,category name eng,PIM category name,EAN,Node Id in FR,FR,FR_category_name,FR_status,FR_note,FR_confidence,Node Id in IT,IT,IT_category_name,IT_status,IT_note,IT_confidence,Node Id in ES,ES,ES_category_name,ES_status,ES_note,ES_confidence,Node Id in NL,NL,NL_category_name,NL_status,NL_note,NL_confidence,Node Id in PL,PL,PL_category_name,PL_status,PL_note,PL_confidence,Node Id in IE,IE,IE_category_name,IE_status,IE_note,IE_confidence,Node Id in SE,SE,SE_category_name,SE_status,SE_note,SE_confidence,FR_node_id,IT_node_id,ES_node_id,NL_node_id,PL_node_id,IE_node_id,SE_node_id
bucket,3597051031,3597051031,"/Kategorien/Küche, Haushalt & Wohnen/Haushaltsreiniger & Staubsauger/Eimer","Küche, Haushalt & Wohnen > Haushaltsreiniger & Staubsauger > Eimer",Bucket,/PIM/Kategorien/Garten/Behälter/Körbe,4023122107880,3575160031,Cuisine et Maison > Produits et accessoires de nettoyage > Seaux,Seaux,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,779402031,Casa e cucina > Detergenti e prodotti per la pulizia > Secchi,Secchi,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,2165653031,Hogar y cocina > Productos y utensilios de limpieza > Cubos,Cubos,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,16474202031,Wonen & keuken > Keuken > Kookgerei > Stomers,Stomers,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=71.3, family=kitchen, overlap=cookware,kitchen, required=-, depth=3->4. Ručno provjeriti prije potvrde.",0.713,20853014031,Dom i kuchnia > Kuchnia > Przybory kuchenne,Przybory kuchenne,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=71.1, family=kitchen, overlap=cookware,kitchen, required=-, depth=3->3. Ručno provjeriti prije potvrde.",0.711,94816512031,Home & Kitchen > Cooking & Dining > Cookware > Steamers,Steamers,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=71.5, family=kitchen, overlap=cookware,kitchen, required=-, depth=3->4. Ručno provjeriti prije potvrde.",0.715,20650386031,"Hem & kök > Kök > Grytor, kastruller & stekpannor > Taginer",Taginer,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=69.8, family=kitchen, overlap=cookware,kitchen, required=-, depth=3->4. Ručno provjeriti prije potvrde.",0.698,3575160031,779402031,2165653031,16474202031,20853014031,94816512031,20650386031
outdoorliving,300261031,300261031,/Kategorien/Gartenarbeit/Bewässerung & Schlauchsysteme/Unterirdische Wassertanks,Garten > Garten- & Bewässerungsgeräte > Bewässerung & Schlauchsysteme > Unterirdische Wassertanks,Underground Water Tanks,/PIM/Kategorien/Garten/Regenwassernutzung/Erdtanks unterirdisch,4023122213925,4338548031,Jardin > Matériels d'arrosage et outils pour jardins > Matériel d'arrosage > Cuves enterrées,Cuves enterrées,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,4238391031,Giardino e giardinaggio > Attrezzi da giardino e attrezzature per l'irrigazione > Attrezzature per l'irrigazione > Serbatoi sotto-terra,Serbatoi sotto-terra,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,5940525031,Jardín > Jardinería > Riego > Tanques subterráneos,Tanques subterráneos,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,22954816031,"Tuin, terras & gazon > Tuingereedschap & bewatering > Bewateringsapparatuur > Ondergrondse tanks",Ondergrondse tanks,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=87.1, family=garden, overlap=garden,tank,watering, required=tank, depth=4->4. Ručno provjeriti prije potvrde.",0.871,26955781031,Ogród > Narzędzia ogrodowe i sprzęt do nawadniania > Sprzęt do nawadniania > Zbiorniki podziemne,Zbiorniki podziemne,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=94.2, family=garden, overlap=garden,tank,tools,watering, required=tank, depth=4->4. Ručno provjeriti prije potvrde.",0.88,94833189031,Garden > Garden Tools & Watering Equipment > Sprayers & Accessories > Tanks,Tanks,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=95.7, family=garden, overlap=garden,tank,tools,watering, required=tank, depth=4->4. Ručno provjeriti prije potvrde.",0.88,,,,NO_SAFE_BTG_MATCH,"Nema sigurnog SE prijedloga. Bridge=FR,IT,ES; kandidati iz krivih BTG obitelji su preskočeni (24008); traženi leaf concepts=tank; source concepts=garden,tank,tools,watering.",0,4338548031,4238391031,5940525031,22954816031,26955781031,94833189031,
compostbin,3437625031,3437625031,/Kategorien/Aufbewahren & Ordnen/Abfall & Recycling/Komposteimer,"Küche, Haushalt & Wohnen > Abfall & Recycling > Komposteimer",compost bins,/PIM/Kategorien/Garten/Komposter & Abfälle/Abfallbehälter,4023122320128,3305933031,Cuisine et Maison > Rangement et organisation > Déchets et recyclage > Poubelles à compost,Poubelles à compost,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,3494718031,Casa e cucina > Organizzazione interni > Rifiuti e riciclaggio > Secchi per fertilizzanti organici,Secchi per fertilizzanti organici,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,3360031031,Hogar y cocina > Almacenamiento y organización > Basura y reciclaje > Contenedores para hacer compost,Contenedores para hacer compost,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,16473882031,"Wonen & keuken > Huishoudelijke apparaten > Afval, compost & recycling","Afval, compost & recycling",BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=74.0, family=kitchen, overlap=kitchen,waste, required=waste, depth=3->3. Ručno provjeriti prije potvrde.",0.74,20852970031,Dom i kuchnia > Kosze na śmieci i pojemniki do segregacji > Kompostowniki domowe,Kompostowniki domowe,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=86.1, family=kitchen, overlap=kitchen,storage,waste, required=waste, depth=3->3. Ručno provjeriti prije potvrde.",0.861,94816397031,Home & Kitchen > Storage & Organisation > Baskets & Bins,Baskets & Bins,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=82.8, family=kitchen, overlap=kitchen,storage,waste, required=waste, depth=3->3. Ručno provjeriti prije potvrde.",0.828,20650210031,"Hem & kök > Hushållsapparater > Skräp, kompost & återvinning","Skräp, kompost & återvinning",BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=73.1, family=kitchen, overlap=kitchen,waste, required=waste, depth=3->3. Ručno provjeriti prije potvrde.",0.731,3305933031,3494718031,3360031031,16473882031,20852970031,94816397031,20650210031
trashcan,3437628031,3437628031,/Kategorien/Aufbewahren & Ordnen/Abfall & Recycling/Mülltonnen,"Küche, Haushalt & Wohnen > Abfall & Recycling > Mülltonnen",Trash Cans,/PIM/Kategorien/Haus & Wohnen/Abfallsammler/Abfalltonnen,4023122611417,3305936031,Cuisine et Maison > Rangement et organisation > Déchets et recyclage > Bacs à ordures extérieurs,Bacs à ordures extérieurs,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,3494720031,Casa e cucina > Organizzazione interni > Rifiuti e riciclaggio > Secchi della spazzatura da esterni,Secchi della spazzatura da esterni,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,3360034031,Hogar y cocina > Almacenamiento y organización > Basura y reciclaje > Cubos de basura para exterior,Cubos de basura para exterior,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,16473820031,Wonen & keuken > Afval & recycling > Keukenprullenbakken,Keukenprullenbakken,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=71.6, family=kitchen, overlap=kitchen,waste, required=waste, depth=3->3. Ručno provjeriti prije potvrde.",0.716,20852967031,Dom i kuchnia > Kosze na śmieci i pojemniki do segregacji > Kuchenne kosze na śmieci,Kuchenne kosze na śmieci,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=83.7, family=kitchen, overlap=kitchen,storage,waste, required=waste, depth=3->3. Ručno provjeriti prije potvrde.",0.837,94816397031,Home & Kitchen > Storage & Organisation > Baskets & Bins,Baskets & Bins,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=82.1, family=kitchen, overlap=kitchen,storage,waste, required=waste, depth=3->3. Ručno provjeriti prije potvrde.",0.821,26911092031,Hem & kök > Avfall & återvinning > Bärhållare,Bärhållare,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=70.3, family=kitchen, overlap=kitchen,waste, required=waste, depth=3->3. Ručno provjeriti prije potvrde.",0.703,3305936031,3494720031,3360034031,16473820031,20852967031,94816397031,26911092031
home,3643211031,3643211031,/Kategorien/Heimbrauen & Weinbereitung/Gärung/Gärbehälter,"Küche, Haushalt & Wohnen > Küche, Kochen & Backen > Heimbrauen & Weinbereitung > Gärung > Gärbehälter",Fermentation Tanks,/PIM/Kategorien/Garten/Behälter/Fässer und Kanister,4023122110118,3577469031,Cuisine et Maison > Brassage et vinification maison > Fermentation > Cuves de fermentation,Cuves de fermentation,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,3683709031,Casa e cucina > Produzione di birra e vino artigianali > Fermentazione > Fermentatori,Fermentatori,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,2165345031,Hogar y cocina > Fabricación de cerveza y vino > Fermentación > Fermentadores,Fermentadores,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,,,,NO_SAFE_BTG_MATCH,"Nema sigurnog NL prijedloga. Bridge=FR,IT,ES; kandidati iz krivih BTG obitelji su preskočeni (20558); traženi leaf concepts=-; source concepts=cookware,garden,kitchen,tank.",0,,,,NO_SAFE_BTG_MATCH,"Nema sigurnog PL prijedloga. Bridge=FR,IT,ES; kandidati iz krivih BTG obitelji su preskočeni (20105); traženi leaf concepts=-; source concepts=cookware,garden,kitchen,tank.",0,,,,NO_SAFE_BTG_MATCH,"Nema sigurnog IE prijedloga. Bridge=FR,IT,ES; kandidati iz krivih BTG obitelji su preskočeni (12739); traženi leaf concepts=-; source concepts=cookware,garden,kitchen,tank.",0,,,,NO_SAFE_BTG_MATCH,"Nema sigurnog SE prijedloga. Bridge=FR,IT,ES; kandidati iz krivih BTG obitelji su preskočeni (19896); traženi leaf concepts=-; source concepts=cookware,garden,kitchen,tank.",0,3577469031,3683709031,2165345031,,,,
compostbin,4288410031,4288410031,/Kategorien/Gartenarbeit/Kompostierung & Gartenabfall/Komposte,"Küche, Haushalt & Wohnen > Abfall & Recycling > Komposte",Composts,/PIM/Kategorien/Garten/Komposter & Abfälle/Komposter,4023122268437,4065840031,Cuisine et Maison > Rangement et organisation > Déchets et recyclage > Bacs à compost de jardin,Bacs à compost de jardin,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,4056382031,Casa e cucina > Organizzazione interni > Rifiuti e riciclaggio > Secchi compost da giardino,Secchi compost da giardino,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,5940352031,Hogar y cocina > Almacenamiento y organización > Basura y reciclaje > Contenedores para hacer compost para exterior,Contenedores para hacer compost para exterior,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,16473882031,"Wonen & keuken > Huishoudelijke apparaten > Afval, compost & recycling","Afval, compost & recycling",BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=73.9, family=kitchen, overlap=kitchen,waste, required=-, depth=3->3. Ručno provjeriti prije potvrde.",0.739,20852970031,Dom i kuchnia > Kosze na śmieci i pojemniki do segregacji > Kompostowniki domowe,Kompostowniki domowe,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=86.1, family=kitchen, overlap=kitchen,storage,waste, required=-, depth=3->3. Ručno provjeriti prije potvrde.",0.861,94816397031,Home & Kitchen > Storage & Organisation > Baskets & Bins,Baskets & Bins,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=82.5, family=kitchen, overlap=kitchen,storage,waste, required=-, depth=3->3. Ručno provjeriti prije potvrde.",0.825,20650210031,"Hem & kök > Hushållsapparater > Skräp, kompost & återvinning","Skräp, kompost & återvinning",BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=73.0, family=kitchen, overlap=kitchen,waste, required=-, depth=3->3. Ručno provjeriti prije potvrde.",0.73,4065840031,4056382031,5940352031,16473882031,20852970031,94816397031,20650210031
outdoorliving,4288414031,4288414031,/Kategorien/Gartenarbeit/Entwässerung/Entwässerungssysteme,Baumarkt > Klempnerarbeiten > Gartenentwässerung > Entwässerungssysteme,Drainage Systems,/PIM/Kategorien/Garten/Regenwassernutzung/Versickerung,4023122117421,4338530031,Jardin > Jardinage > Drainage > Systèmes de drainage,Systèmes de drainage,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,4238248031,Fai da te > Tubature > Drenaggio per giardino > Sistemi di drenaggio,Sistemi di drenaggio,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,5940408031,Jardín > Jardinería > Drenaje > Sistemas de drenaje,Sistemas de drenaje,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,,,,NO_TARGET_BTG_FAMILY,Za NL nema učitane BTG obitelji 'tools'. Ne mapiram na druge obitelji da ne dobiješ krivu kategoriju.,0,,,,NO_TARGET_BTG_FAMILY,Za PL nema učitane BTG obitelji 'tools'. Ne mapiram na druge obitelji da ne dobiješ krivu kategoriju.,0,,,,NO_TARGET_BTG_FAMILY,Za IE nema učitane BTG obitelji 'tools'. Ne mapiram na druge obitelji da ne dobiješ krivu kategoriju.,0,,,,NO_SAFE_BTG_MATCH,"Nema sigurnog SE prijedloga. Bridge=FR,IT,ES; kandidati iz krivih BTG obitelji su preskočeni (24401); traženi leaf concepts=-; source concepts=garden.",0,4338530031,4238248031,5940408031,,,,
gardenedging,4288432031,4288432031,/Kategorien/Gartenarbeit/Gartengestaltung & Rankhilfen/Rasenkanten,Garten > Gartenarbeit > Gartengestaltung & Rankhilfen > Rasenkanten,Lawn Edging,/PIM/Kategorien/Garten/Zubehör Gartentechnik,4023122209836,4338588031,Jardin > Jardinage > Treillis et aménagement paysager > Bordures pour jardin,Bordures pour jardin,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,4238263031,Giardino e giardinaggio > Giardinaggio > Letti rialzati per giardino e strutture di supporto > Bordature da giardino,Bordature da giardino,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,5940412031,Jardín > Jardinería > Huertos urbanos y otras estructuras > Delimitadores de bordes,Delimitadores de bordes,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,22490913031,"Tuin, terras & gazon > Barbecue & buiten eten > Barbecuekookbenodigdheden > Bakplaten",Bakplaten,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=98.2, family=garden, overlap=garden, required=-, depth=4->4. Ručno provjeriti prije potvrde.",0.88,26955952031,"Ogród > Baseny, wanny z hydromasażem i materiały eksploatacyjne > Baseny > Baseny dmuchane",Baseny dmuchane,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=97.7, family=garden, overlap=garden, required=-, depth=4->4. Ručno provjeriti prije potvrde.",0.88,94833364031,Garden > Garden Structures & Germination Equipment > Raised Beds & Support Structures > Garden Stakes,Garden Stakes,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=96.8, family=garden, overlap=garden, required=-, depth=4->4. Ručno provjeriti prije potvrde.",0.88,20649740031,Trädgård > Trädgårdsstrukturer & grobarhet utrustning > Upphöjda rabatter & stödstrukturer > Rabattkanter,Rabattkanter,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=98.6, family=garden, overlap=garden, required=-, depth=4->4. Ručno provjeriti prije potvrde.",0.88,4338588031,4238263031,5940412031,22490913031,26955952031,94833364031,20649740031
planter,4288436031,4288436031,/Kategorien/Gartenarbeit/Gartengestaltung & Rankhilfen/Hochbeete,Garten > Gartenarbeit > Gartengestaltung & Rankhilfen > Hochbeete-Kit,Raised Bed Kit,/PIM/Kategorien/Garten/Gewächshäuser & Frühbeete/Hochbeete,4023122262848,4338590031,Jardin > Jardinage > Treillis et aménagement paysager > Kits pour plates-bandes surélevées,Kits pour plates-bandes surélevées,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,4238268031,Giardino e giardinaggio > Giardinaggio > Letti rialzati per giardino e strutture di supporto > Kit per giardini fuori terra,Kit per giardini fuori terra,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,5940415031,Jardín > Jardinería > Huertos urbanos y otras estructuras > Huertos urbanos y kits,Huertos urbanos y kits,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,55631607031,"Tuin, terras & gazon > Tuininrichting & kweekbenodigdheden > Verticale plantenbakken en plantenbakken voor de muur",Verticale plantenbakken en plantenbakken voor de muur,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=92.4, family=garden, overlap=garden,plant_pots, required=-, depth=4->3. Ručno provjeriti prije potvrde.",0.88,26955718031,Ogród > Kwiaty i rośliny doniczkowe > Kwiaty cięte,Kwiaty cięte,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=95.7, family=garden, overlap=garden,plant_pots, required=-, depth=4->3. Ručno provjeriti prije potvrde.",0.88,94833264031,Garden > Lawn & Plant Care > Plant & Soil Monitoring > Soil Meters,Soil Meters,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=96.8, family=garden, overlap=garden,plant_pots, required=-, depth=4->4. Ručno provjeriti prije potvrde.",0.88,20649733031,Trädgård > Trädgårdsstrukturer & grobarhet utrustning > Växthusutrustning > Biologiskt nedbrytbara krukor,Biologiskt nedbrytbara krukor,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=94.2, family=garden, overlap=garden,plant_pots, required=-, depth=4->4. Ručno provjeriti prije potvrde.",0.88,4338590031,4238268031,5940415031,55631607031,26955718031,94833264031,20649733031
greenhouse,4288453031,4288453031,/Kategorien/Gartenarbeit/Gewächshäuser & Ausrüstung zur Anzucht/Gartengewächshäuser,"Gewerbe, Industrie & Wissenschaft > Landwirtschaftliche Geräte & Zubehör > Bauten & Zubehör > Gartengewächshäuser",Garden Greenhouses,/PIM/Kategorien/Garten/Gewächshäuser & Frühbeete/Frühbeete,4023122264767,4338569031,"Commerce, Industrie et Science > Équipement et fournitures agricoles > Bâtiments et matériel > Serres",Serres,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,731506031,"Commercio, Industria e Scienza > Attrezzature e forniture agricole > Strutture > Miniserre",Miniserre,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,5940490031,Jardín > Jardinería > Invernaderos y equipos de germinación > Invernaderos,Invernaderos,DIRECT_MAPPING_WITH_NAME,"Node ID je iz European Browse Node Mapping tablice, a naziv/path iz učitanog category catalog/BTG izvora.",1,22120120031,"Zakelijk, industrie & wetenschap > Horeca-apparatuur & -benodigdheden > Display & bewegwijzering > Bewegwijzering > Bewegwijzering buiten",Bewegwijzering buiten,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=92.6, family=industrial, overlap=garden, required=-, depth=4->5. Ručno provjeriti prije potvrde.",0.88,,,,NO_SAFE_BTG_MATCH,"Nema sigurnog PL prijedloga. Bridge=FR,IT,ES; kandidati iz krivih BTG obitelji su preskočeni (18694); traženi leaf concepts=-; source concepts=garden.",0,,,,NO_SAFE_BTG_MATCH,"Nema sigurnog IE prijedloga. Bridge=FR,IT,ES; kandidati iz krivih BTG obitelji su preskočeni (14298); traženi leaf concepts=-; source concepts=garden.",0,10256188031,"Business, Industry & Science > Food Service Equipment & Supplies > Display Products > Signage > Outdoor Signs",Outdoor Signs,BTG_SIMILAR_NEEDS_REVIEW,"Prijedlog iz iste BTG obitelji + prijevodni concept match. Bridge=FR,IT,ES, Score=92.1, family=industrial, overlap=garden, required=-, depth=4->5. Ručno provjeriti prije potvrde.",0.88,4338569031,731506031,5940490031,22120120031,,,10256188031
